favorite_count,retweet_count,tweet_id
37220,7975,892420643555336193
32014,5920,892177421306343426
24101,3911,891815181378084864
40542,8122,891689557279858688
38766,8807,891327558926688256
19480,2930,891087950875897856
11370,1943,890971913173991426
62797,17756,890729181411237888
26793,4029,890609185150312448
30701,6940,890240255349198849
29529,6898,890006608113172480
26792,4696,889880896479866881
46255,9446,889665388333682689
26080,4235,889638837579907072
14548,2122,889531135344209921
24288,5039,889278841981685760
28029,4232,888917238123831296
24608,4010,888804989199671297
19063,3316,888554962724278272
20939,3271,888078434458587136
29061,5070,887705289381826560
44578,11037,887517139158093824
66304,16974,887473957103951883
32404,9833,887343217045368832
29417,5609,887101392804085760
33763,7230,886983233522544640
11566,3051,886736880519319552
21587,4194,886680336477933568
20363,2999,886366144734445568
115,4,886267009285017600
26936,5941,886258384151887873
0,104,886054160059072513
31374,6357,885984800019947520
34626,6036,885528943205470208
19693,3511,885518971528720385
0,17442,885311592912609280
21074,4122,885167619883638784
74463,17080,884925521741709313
26852,5273,884876753390489601
23380,4434,884562892145688576
26025,5354,884441805382717440
70120,19158,884247878851493888
19605,2811,884162670584377345
21046,3253,883838122936631299
44185,9323,883482846933004288
21837,3490,883360690899218434
35761,6268,883117836046086144
23020,3685,882992080364220416
27216,4613,882762694511734784
26884,5721,882627270321602560
43219,10912,882268110199369728
28229,4617,882045870035918850
23404,3207,881906580714921986
48758,10056,881666595344535552
122,7,881633300179243008
47589,15053,881536004380872706
22296,4938,881268444196462592
16401,2630,880935762899988482
20497,3600,880872448815771648
27448,5882,880465832366813184
25996,3970,880221127280381952
26603,4090,880095782870896641
21513,3291,879862464715927552
302,10,879674319642796034
22597,3002,879492040517615616
101996,41897,879415818425184262
16198,2942,879376492567855104
0,6436,879130579576475649
21705,4421,879050749262655488
18275,2543,879008229531029506
18688,3881,878776093423087618
29096,6738,878604707211726852
0,1223,878404777348136964
0,6305,878316110768087041
7446,1223,878281511006478336
40540,6436,878057613040115712
76737,17991,877736472329191424
0,77,877611172832227328
21895,3606,877556246731214848
26401,4894,877316821321428993
26149,5282,877201837425926144
19980,3158,876838120628539392
22740,4416,876537666061221889
18103,2257,876484053909872640
26948,4430,876120275196170240
24279,4040,875747767867523072
21164,4667,875144289856114688
26467,5754,875097192612077568
24583,4475,875021211251597312
26866,4397,874680097055178752
0,13840,874434818259525634
25144,3903,874296783580663808
21929,3760,874057562936811520
33328,9793,874012996292530176
23394,3739,873580283840344065
0,1511,873337748698140672
6962,1511,873213775632977920
26376,5141,872967104147763200
14237,3530,872820683541237760
20073,3487,872620804844003328
39407,8590,872486979161796608
33278,7736,872122724285648897
36592,10547,871879754684805121
19625,3324,871762521631449091
19533,3303,871515927908634625
0,5450,871166179821445120
20293,5262,871102520638267392
22001,3642,871032628920680449
32627,5921,870804317367881728
118,3,870726314365509632
12022,2531,870656317836468226
80413,25293,870374049280663552
21249,3983,870308999962521604
35572,7964,870063196459192321
41297,9675,869772420881756160
27461,6066,869702957897576449
15537,3009,869596645499047938
19877,3631,869227993411051520
63776,13878,868880397819494401
0,2001,868639477480148993
26020,5105,868622495443632128
9846,2001,868552278524837888
23587,4031,867900495410671616
33100,7080,867774946302451713
15716,2408,867421006826221569
0,118,867072653475098625
31461,7598,867051520902168576
19566,4631,866720684873056260
18824,3357,866686824827068416
119514,34057,866450705531457537
51310,13840,866334964761202691
0,8106,866094527597207552
25081,5444,865718153858494464
25897,4843,865359393868664832
27416,7441,865006731092295680
31599,8427,864873206498414592
14291,2931,864279568663928832
29478,8622,864197398364647424
20202,4007,863907417377173506
14982,4067,863553081350529029
0,2368,863471782782697472
23363,5090,863432100342583297
2193,94,863427515083354112
8605,1076,863079547188785154
8322,2368,863062471531167744
18819,5008,862831371563274240
16769,3442,862722525377298433
20119,4817,862457590147678208
73202,22601,862096992088072192
35510,10448,861383897657036800
16918,4039,861288531465048066
16448,3724,861005113778896900
0,2106,860981674716409858
0,791,860924035999428608
7401,2106,860563773140209665
23290,5170,860524505164394496
18066,3416,860276583193509888
16429,5727,860184849394610176
0,30295,860177593139703809
19307,4009,859924526012018688
15214,3445,859851578198683649
18350,1538,859607811541651456
88877,29579,859196978902773760
33457,13357,859074603037188101
0,7992,858860390427611136
15367,3432,858843525470990336
21272,4776,858471635011153920
15566,2869,858107933456039936
15956,2554,857989990357356544
33919,10472,857746408056729600
5842,1617,857393404942143489
19846,4457,857263160327368704
227,17,857214891891077121
0,170,857062103051644929
18774,3959,857029823797047296
16162,2851,856543823941562368
11781,1860,856526610513747968
0,657,856330835276025856
512,16,856288084350160898
27576,6224,856282028240666624
343,26,855862651834028034
4969,1000,855860136149123072
11806,2100,855857698524602368
45356,17786,855851453814013952
26527,5397,855818117272018944
29811,8166,855459453768019968
0,5937,855245323840757760
0,44,855138241867124737
22792,6036,854732716440526848
29263,6865,854482394044301312
18886,4675,854365224396361728
31996,7473,854120357044912130
16211,3154,854010172552949760
28632,5751,853760880890318849
34884,10100,853639147608842240
15560,3560,853299958564483072
0,2011,852936405516943360
9107,1832,852912242202992640
14986,2160,852672615818899456
16417,3513,852553447878664193
33312,9972,852311364735569921
20132,6872,852226086759018497
11522,1593,852189679701164033
0,20,851861385021730816
16364,3504,851591660324737024
24431,7112,851464819735769094
20828,5764,851224888060895234
31193,9249,850753642995093505
13207,2641,850380195714523136
3486,336,850333567704068097
16498,3839,850145622816686080
20642,4925,850019790995546112
30831,7682,849776966551130114
0,5017,849668094696017920
16052,3186,849412302885593088
11541,1930,849336543269576704
42898,8597,849051919805034497
25499,4380,848690551926992896
25077,4666,848324959059550208
8293,748,848213670039564288
16547,3097,848212111729840128
0,3305,847978865427394560
0,436,847971574464610304
23854,5170,847962785489326080
5530,1349,847842811428974592
7094,423,847617282490613760
19051,3466,847606175596138505
20798,4355,847251039262605312
20232,5964,847157206088847362
21763,3243,847116187444137987
20402,3981,846874817362120707
45352,11789,846514051647705089
14339,3128,846505985330044928
32224,9220,846153765933735936
31460,10135,846139713627017216
16274,2930,846042936437604353
29792,8878,845812042753855489
25609,4881,845677943972139009
7769,1844,845397057150107648
